Name,Release_Date
Z: Steel Soldiers,15 Jun 2001
X-Com: Enforcer,26 Oct 2001
Worms World Party,16 Mar 2001
World War III: Black Gold,16 Oct 2001
Rise Of Nations,20 May 2003
Riddle of the Sphinx II: The Omega Stone,19 Mar 2003
Restaurant Empire,26 Mar 2003
Republic: The Revolution,27 Aug 2003
Red Shark,15 Mar 2003
Red Faction 2,27 Jun 2003
FIFA 07,27 Sep 2006
Feeding Frenzy 2: Shipwreck Showdown,6 Feb 2006
Far Cry Vengeance,
Faces of War,15 Sep 2006
SimCity 4,14 Jan 2003
Sim City 3000,23 Jul 2003
Silent Hill 3,31 Oct 2003
Shehzor Urdu Fighting Game,8 May 2003
Secret Weapons Over Normandy,18 Nov 2003
Second Life,23 Jun 2003
Savage: The Battle for Newerth,9 Sep 2003
Runaway: A Road Adventure,15 May 2004
Rugby League,12 Dec 2003
Robot Arena 2: Design and Destroy,18 Feb 2003
Full Spectrum Warrior: Ten Hammers,23 Jun 2006
Freight Tycoon Inc.,8 Dec 2006
Frater,5 Sep 2006
Ford Street Racing,19 Sep 2006
Football Manager 2007,20 Oct 2006
FlatOut 2,30 Jun 2006
Fight Terror 3,1 Sep 2006
Fight Night Round 3,
FIFA Manager 07,3 Nov 2006
Ricochet Lost Worlds,1 Apr 2004
Richard Burns Rally,9 Jul 2004
RHEM,10 Jul 2004
Star Wars Galaxies,7 Nov 2003
Star Trek: Elite Force II,10 Oct 2003
Space Empires: Star Fury,29 Sep 2003
Garrys Mod,29 Nov 2006
Galactic Civilizations II: Dread Lords (1),3 Mar 2006
G.I. Combat Episode I: Battle Of Normandy,4 Dec 2006
Rome: Total War,20 Sep 2004
Rollercoaster Tycoon 3,3 Nov 2004
Rise of Nations: Thrones & Patriots,21 May 2004
Rise of Nations: Gold Edition,28 Oct 2004
Gears of War,9 Nov 2007
Street Legal Racing Redline,18 Jul 2003
State of Emergency,29 Jul 2003
Starsky and Hutch,20 Jun 2003
Star Wars: Jedi Academy,17 Sep 2003
Star Wars Jedi Knight: Jedi Academy,17 Sep 2003
Gothic 3,13 Oct 2006
Gods: Lands of Infinity,10 Jun 2006
God Hand,
Glory of the Roman Empire,26 Jun 2006
Geneforge 5: Overthrow,1 Nov 2006
Geneforge 4: Rebellion,1 Nov 2006
Gene Troopers,25 Dec 2006
Shot Online,12 Dec 2004
Sherlock Holmes: The Case of the Silver Earring,27 Aug 2004
Shade: Wrath of Angels,1 Oct 2004
The Sims: Makin Magic,29 Oct 2003
The Simpsons: Hit and Run,13 Nov 2003
The Hobbit,28 Nov 2003
The Great Escape,23 Jul 2003
The Elder Scrolls III: Bloodmoon,3 Jun 2003
The Adventures of Fatman,15 May 2003
Terminator 3: War of the Machines,28 Nov 2003
Terminator 3: Rise of the Machines,
Teenage Mutant Ninja Turtles,25 Nov 2003
Tales of Symphonia,1 Feb 2016
Hitman: Blood Money,26 May 2006
Heroes of Might and Magic V,16 May 2006
Heroes of Annihilated Empires,5 Oct 2006
Half-Life 2: Episode 1,1 Jun 2006
GunZ: The Duel,29 Nov 2006
Guild Wars Nightfall,26 Oct 2006
GTR 2,29 Sep 2006
GTI Racing,7 Mar 2006
Great Invasions The Darkages 350-1066 AD,6 Oct 2006
Grand Theft Auto: Vice City Stories,
SpellForce: The Breath of Winter,25 Jun 2004
Space Rangers 2: Rise of the Dominators,25 Nov 2004
UFO: Aftermath,26 Mar 2003
True Crime: Streets of LA,3 Nov 2003
Tropico 2: Pirate Cove,8 Apr 2003
Tron 2.0,26 Aug 2003
Trackmania,30 Nov 2003
Total Club Manager 2004,21 Nov 2003
Torn,1 Jan 2003
Toontown Online,2 Jun 2003
Tomb Raider: The Angel of Darkness,20 Jun 2003
Tom Clancys Ghost Recon: Island Thunder,5 Sep 2003
Tom Clancy Rainbow Six 3: Raven Shield,21 Mar 2003
The Temple of Elemental Evil,16 Feb 2003
The Sims: Superstar,13 May 2003
Mad Tracks,27 Feb 2006
Lego Star Wars II: The Original Trilogy,11 Sep 2006
Left Behind: Eternal Forces,7 Nov 2006
L.A. Street Racing,1 Dec 2006
Keepsake,31 Mar 2006
Just Cause,22 Sep 2006
Joint Task Force,12 Sep 2006
Jackal,20 Jun 2006
International Cue Club,31 Mar 2006
Ice Age 2: The Meltdown,14 Mar 2006
Hunting Unlimited 4,30 Aug 2006
Warlords IV,28 Nov 2003
Warcraft 3: The FrozenThrone,4 Jul 2003
Wallace & Gromit in Project Zoo,31 Oct 2003
Vietcong,26 Mar 2003
Victoria: An Empire Under the Sun,18 Nov 2003
Victoria,18 Nov 2003
Uru: Ages Beyond Myst,14 Nov 2003
X2: The Threat,3 Dec 2003
Worms 3D,31 Oct 2003
Wolfenstein: Enemy Territory,29 May 2003
Will Rock,9 Jun 2003
Warrior Kings: Battles,30 Sep 2003
MX vs. ATV Unleashed,16 Jan 2006
Moscow to Berlin: Red Siege,14 Jun 2006
Mobile Suit Gundam: Crossfire,
Might and Magic: Dark Messiah,27 Oct 2006
Unreal Tournament 2004,16 Mar 2004
Ultima Online: Samurai Empire,2 Nov 2004
Trivia Machine,27 Oct 2004
Tribes: Vengeance,5 Oct 2004
Total War: Rome Remastered,29 Apr 2021
Total Club Manager 2005,22 Oct 2004
Jack Orlando: Directors Cut,4 Jun 2007
Jack Keane,1 Aug 2007
Interpol: The Trail of Dr. Chaos,5 Sep 2007
Rfactor,31 Aug 2005
Rag Doll Kung Fu,12 Oct 2005
Quest of Persia: The End of Innocence,25 Sep 2005
Quake IV,21 Oct 2005
Psychotoxic,14 Mar 2005
Psychonauts,10 Feb 2006
Unreal II: The Awakening,7 Feb 2003
Micro Machines V4,27 Feb 2006
Medieval II: Total War,10 Nov 2006
Massive Assault Network 2,1 Nov 2006
Marvel Ultimate Alliance,24 Oct 2006
Mark of Chaos,24 Nov 2006
Marc Eckos Getting Up: Contents Under Pressure,14 Feb 2006
Zuma,12 Dec 2003
XIII,18 Nov 2003
X2: Wolverines Revenge,17 Apr 2003
NBA Live 07,6 Oct 2006
Nancy Drew: The Creature of Kapu Cave,19 Oct 2006
Nancy Drew: Danger By Design,11 Jul 2006
My Worst Day WW2,24 Feb 2006
White Day,20 Feb 2004
Warlords Battlecry III,17 May 2004
Vietcong: Fist Alpha,30 Jan 2004
Vampire The Masquerade: Bloodlines,19 Nov 2004
Uru: The Path of the Shell,7 Jul 2004
Kane & Lynch: Dead Men,23 Nov 2007
Juiced 2: Hot Import Nights,28 Sep 2007
Ninety Nine Nights,
Night Watch,29 Jun 2006
NHL: Eastside Hockey Manager 2007,22 Sep 2006
NHL 07,12 Sep 2006
Neverwinter Nights 2,31 Oct 2006
Need For Speed: Carbon,8 Jun 2006
Need for Russia: Greatest Cars from CCCP,1 Jan 2006
NCAA Football 07,
ParaWorld,25 Sep 2006
Paradise,21 Apr 2006
Panzer Elite Action: Fields of Glory,7 Apr 2006
Pacific Storm,28 Sep 2006
OutRun 2006: Coast 2 Coast,23 Jun 2006
Open Season,19 Sep 2006
Oblivion,24 Mar 2006
Mario Strikers Charged Football,
Marine Sharpshooter III,28 May 2007
Making History: The Calm & The Storm,13 Mar 2007
Mahjong Tales: Ancient Wisdom,7 Mar 2007
Maelstrom,20 Feb 2007
Madden NFL 08,14 Aug 2007
Luxor 3,30 Oct 2007
Lost Planet: Extreme Condition,29 Jun 2007
Looney Tunes: Acme Arsenal,
Loki,28 Sep 2007
SpellForce: Shadow of the Phoenix,18 Feb 2005
Space Hack,15 Nov 2005
Sniper Elite,30 Sep 2005
Ski Racing 2006,2 Dec 2005
Ski Racing 2005,11 Mar 2005
Singles 2: Triple Trouble,16 Dec 2005
Silent Hunter 3,15 Mar 2005
Shattered Union,17 Oct 2005
Shanghai Street Racer,20 May 2005
Zoo Tycoon 2,3 Nov 2004
Zero Online,1 Apr 2004
Yu-Gi-Oh! The Dawn of Destiny,
Yu-Gi-Oh! Power of Chaos: Yugi the Destiny,12 Jan 2004
Yu-Gi-Oh! Power of Chaos: Kaiba the Revenge,7 Apr 2004
Yu-Gi-Oh! Power of Chaos: Joey the Passion,2 Jul 2004
Pro evolution Soccer 6,27 Oct 2006
Prison Tycoon 2,8 Sep 2006
Prey,11 Jul 2006
Pirates of the Caribbean: The Legend of Jack Sparrow,28 Jun 2006
Pirate Poppers,21 May 2006
Phantasy Star Universe,24 Oct 2006
Perfect Ace 2: The Championships,1 Jan 2006
Paris Chase,17 Nov 2006
Medieval II: Total War Kingdoms,31 Aug 2007
Medal of Honor: Vanguard,
Medal of Honor: Heroes 2,
Medal of Honor: Airborne,7 Sep 2007
Rise of Nations: Rise of Legends,26 May 2006
Rise and Fall: Civilizations at War,12 Jun 2006
Rise & Fall: Civilizations At War,16 Jun 2006
Ridge Racer 7,Never
RF Online,21 Feb 2006
Resistance: Fall of Man,
Red Orchestra: Ostfront 41-45,14 Mar 2006
Rebel Raiders: Operation Nighthawk,30 May 2006
Rayman Raving Rabbids,8 Dec 2006
Rapelay,21 Apr 2006
Race: The WTCC Game,1 Nov 2006
MotorStorm,6 Mar 2007
Rome Total War: Alexandar,19 Jun 2006
RollerCoaster Tycoon 3: Platinum,8 Nov 2006
Rogue Trooper,23 May 2006
Mystery Case Files: Madame Fate,7 Nov 2007
My Animal Centre in Africa,27 Sep 2007
MX vs. ATV: Untamed,
Terrorist Takedown-Payback,11 Nov 2005
Secret Files: Tunguska,29 Sep 2006
Scratches,8 Mar 2006
Scarface: The World is Yours,28 Jul 2006
Sam and Max Episode 101: Culture Shock,1 Nov 2006
Saints Row,
Rush for Berlin,16 Jun 2006
NCAA Football 08,
NBA Live 08,2 Oct 2007
NASCAR 08,
Nancy Drew: The White Wolf of Icicle Creek,7 Jun 2007
Nancy Drew: Legend of the Crystal Skull,8 Oct 2007
The Settlers: Heritage of Kings,18 Feb 2005
The Punisher,16 Jan 2005
The Movies,11 Nov 2005
The Matrix: Path OF Neo,7 Nov 2005
The Incredibles: Rise of the Underminer,24 Oct 2005
The Chronicles of Narnia: The Lion the Witch and the Wardrobe,25 Nov 2005
The Bards Tale,17 Jun 2005
Tekken 5,
Teenage Mutant Ninja Turtles: Mutant Melee,28 Mar 2005
Mortal Kombat: Deception,
Monster Madness: Battle for Suburbia,12 Jun 2007
Monster Hunter Frontier Online,21 Jun 2007
MLB 07: The Show,
Mist of Chaos,
Metroid Prime 3: Corruption,
Megazone 23: Aoi Garland,
Meet the Robinsons,27 Mar 2007
Taxi 3: Extreme Rush,20 May 2005
Swat 4,5 Apr 2005
Super Columbine Massacre RPG!,1 Apr 2005
Stubbs the Zombie in Rebel Without a Pulse,18 Oct 2005
Stronghold 2,22 Apr 2005
Stolen,22 Apr 2005
Still Life,3 Jun 2005
MechQuest,1 Oct 2007
Mass Effect,6 Jun 2008
Marvel Trading Card Game,8 Jun 2007
Silkroad Online,21 Feb 2006
Sid Meiers Railroads,27 Oct 2006
Ship simulator 2006,15 Aug 2006
Sherlock Holmes: The Awakened,24 Nov 2006
Sexy Beach 3,29 Sep 2006
Sega Golf Club,
Ninja Gaiden Sigma,10 Jun 2021
NHL 08,12 Sep 2007
Next Life,20 Nov 2007
Neverwinter Nights 2: Mask of the betrayer,27 Sep 2007
Stronghold Legends,13 Oct 2006
Strategic Command 2: Blitzkrieg,28 Apr 2006
State of War: Warmonger,8 Dec 2006
Star Wolves 2,
Star Wars: Empire At War: Forces Of Corruption,27 Oct 2006
Star Wars: Empire At War,17 Feb 2006
Star Trek: Legacy,5 Dec 2006
Star Defender 3,14 Jun 2006
Star Defender 2,28 Apr 2006
Spy Hunter:No where to run,5 Sep 2006
SpellForce 2: Shadow Wars,20 Apr 2006
Sonic Riders,24 Nov 2006
Slaves to Armok: God of Blood Chapter II: Dwarf Fortress,8 Aug 2006
Patriots: A Nation Under Fire,29 Jan 2007
Painkiller: Overdose,30 Oct 2007
Pain,
Pacific Liberation Force,2007
The Godfather: The Game,21 Mar 2006
The Elder Scrolls IV: Knights of the Nine,21 Nov 2006
The Da Vinci Code,19 May 2006
The Blackwell Legacy,23 Dec 2006
The Ant Bully,24 Jul 2006
Terrorist Takedown: War in Colombia,19 May 2006
Terrorist Takedown: Covert Operations,10 Nov 2006
Tenchu Z,
Sword of the Stars: Ultimate Collection,8 Sep 2006
SWAT 4: The Stetchkov Syndicate,28 Feb 2006
Super Taxi Driver 2006,12 Jun 2006
Super Smash Flash,21 Aug 2006
PixelJunk Racers,
PixelJunk Monsters,
Piu - space wars,9 Jul 2007
Pirates of the Caribbean: At Worlds End,25 May 2007
Pirates of the Caribbean Online,31 Oct 2007
Pinball FX,25 Apr 2007
Phantasy Star Universe: Ambition of the Illuminus,20 Nov 2007
Petz Dogz 2,13 Nov 2007
Penumbra: Overture,30 Mar 2007
Peggle Extreme,9 Oct 2007
Peggle,27 Feb 2007
Pawly Pets: My Animal Hospital,27 Sep 2007
Zoo Tycoon 2: Endangered Species,18 Oct 2005
Yu-Gi-Oh! Online,4 Nov 2005
Xanadu NEXT,27 Oct 2005
X3: Reunion,28 Oct 2005
X-Men Legends 2: Rise Of Apocalypse,20 Sep 2005
Worms 4: Mayhem,29 Sep 2005
World of Warcraft,11 Feb 2005
Weird Worlds: Retun to Infinite Space,4 Nov 2005
Warsow,8 Jun 2005
War! Age of Imperialism,1 Jan 2005
Vietcong 2,4 Nov 2005
Urban Reign,
The Ship,11 Jul 2006
The Settlers II 10th Anniversary,22 Sep 2006
The Secrets of Da Vinci: The Forbidden Manuscript,7 Jun 2006
The Secrets of Atlantis: The Sacred Legacy,3 Nov 2006
The Lord of the Rings: Battle for Middle Earth II - The Rise of the Witch King,28 Nov 2006
The Lord of the Rings: Battle for Middle Earth II,2 Mar 2006
The Legend of Zelda: Twilight Princess,
The Guild 2,29 Sep 2006
The Grim Adventures of Billy and Mandy,
Pro Yakyuu Spirits 4,
Pro Evolution Soccer 2008,26 Oct 2007
Tom Clancy Rainbow 6: Lockdown,17 Feb 2006
Toca Race Driver 3,24 Feb 2006
Timothy and Titus: Saints Martyrs Heroes,21 Nov 2006
The Sims 2: Pets,17 Oct 2006
The Sims 2: Open for Business,28 Feb 2006
The Sims 2: Happy Holiday Stuff,8 Nov 2006
The Sims 2: Glamour Life Stuff,28 Aug 2006
The Sims 2: Family Fun Stuff,11 Apr 2006
The Shivah,6 Jun 2006
Riders World: Competition,20 Aug 2007
Resistance,23 Jul 2007
Resident Evil 4,15 May 2007
Ratchet and Clank Future: Tools of Destruction,
Ratatouille,28 Sep 2007
Rail Simulator,12 Oct 2007
Toribash,2 Mar 2006
Tycoon City New York,24 Feb 2006
Trucker,8 Feb 2006
Tricked n Tuned West Coast Streets,25 Feb 2006
Torino 2006,26 Jan 2006
Sam and Max Episode 105: Reality 20,9 Apr 2007
Sam and Max Episode 104: Abe Lincoln Must Die!,9 Mar 2007
Sam and Max Episode 103: The Mole the Mob and the Meatball,8 Feb 2007
Sam and Max Episode 102: Situation: Comedy,5 Jan 2007
Top Spin 2,29 Mar 2006
Tomb Raider: Legend,7 Apr 2006
S.T.A.L.K.E.R.: Shadow of Chernobyl,3 Mar 2007
Runaway 2: The Dream of the Turtle,9 Mar 2007
Tom Clancys Rainbow Six: Vegas,22 Nov 2006
Tom Clancy: Ghost Recon Advanced Warfighter,3 May 2006
Rugby 08,25 Jul 2007
Rock Band,
Race 07,7 Oct 2007
Puzzle Quest - Challenge Of The Warlords,16 Mar 2007
Warpath,18 Jul 2006
Wanderlust: Rebirth,24 Dec 2006
Voyage Century Online,22 Dec 2006
Vivisector: Beast Within,5 Jan 2006
viva pinata,9 Nov 2006
Virtual Villagers,18 Jul 2006
Victoria: Revolutions,17 Aug 2006
Uno,9 May 2006
Ultimate Duck Hunting,2 May 2006
UberSoldier,31 Mar 2006
Sim City Societies,16 Nov 2007
Silent Hunter 4: Wolves of the Pacific,22 Mar 2007
Shrek The Third,20 Jul 2007
Ship simulator 2008,13 Jul 2007
Shadowrun,1 Jun 2007
Shadowgrounds: Survivor,14 Nov 2007
Sega Rally Revo,9 Oct 2007
Sam and Max Save The World,7 Aug 2007
Sam and Max Episode 106: Bright Side of the Moon,10 May 2007
Project Sylpheed,
Professor Fizzwizzle and the Molten Mystery,24 Jun 2007
Pro Cycling Manager 2007,6 Jul 2007
Prison Tycoon 3: Lockdown,5 Sep 2007
Power Rangers: Super Legends,6 Nov 2007
Pokemon Battle Revolution,
Pocket Tanks,16 Nov 2007
Piyotama,
Ozzy Bubbles,25 Apr 2007
Overlord,29 Jun 2007
osu!,16 Sep 2007
